,test_id,gene_id
32714,ENSG00000235141.1,ENSG00000235141.1
32715,ENSG00000235142.8,ENSG00000235142.8
32716,ENSG00000235143.1,ENSG00000235143.1
32717,ENSG00000235145.2,ENSG00000235145.2
32718,ENSG00000235146.2,ENSG00000235146.2
32719,ENSG00000235147.1,ENSG00000235147.1
32720,ENSG00000235148.2,ENSG00000235148.2
32721,ENSG00000235149.1,ENSG00000235149.1
32722,ENSG00000235150.1,ENSG00000235150.1
32723,ENSG00000235151.1,ENSG00000235151.1
32724,ENSG00000235152.1,ENSG00000235152.1
32725,ENSG00000235154.1,ENSG00000235154.1
32726,ENSG00000235156.5,ENSG00000235156.5
32727,ENSG00000235158.1,ENSG00000235158.1
32728,ENSG00000235159.1,ENSG00000235159.1
32729,ENSG00000235160.1,ENSG00000235160.1
32730,ENSG00000235162.8,ENSG00000235162.8
32731,ENSG00000235163.2,ENSG00000235163.2
32732,ENSG00000235165.2,ENSG00000235165.2
32733,ENSG00000235166.7,ENSG00000235166.7
32734,ENSG00000235168.1,ENSG00000235168.1
32735,ENSG00000235169.8,ENSG00000235169.8
32736,ENSG00000235170.1,ENSG00000235170.1
32737,ENSG00000235172.7,ENSG00000235172.7
32738,ENSG00000235173.6,ENSG00000235173.6
32739,ENSG00000235174.1,ENSG00000235174.1
32740,ENSG00000235175.1,ENSG00000235175.1
32741,ENSG00000235180.1,ENSG00000235180.1
32742,ENSG00000235181.1,ENSG00000235181.1
32743,ENSG00000235182.1,ENSG00000235182.1
32744,ENSG00000235183.3,ENSG00000235183.3
32745,ENSG00000235185.1,ENSG00000235185.1
32746,ENSG00000235186.1,ENSG00000235186.1
32747,ENSG00000235189.1,ENSG00000235189.1
32748,ENSG00000235190.1,ENSG00000235190.1
32749,ENSG00000235191.1,ENSG00000235191.1
32750,ENSG00000235192.1,ENSG00000235192.1
32751,ENSG00000235193.1,ENSG00000235193.1
32752,ENSG00000235194.8,ENSG00000235194.8
32753,ENSG00000235196.3,ENSG00000235196.3
32754,ENSG00000235197.1,ENSG00000235197.1
32755,ENSG00000235198.1,ENSG00000235198.1
32756,ENSG00000235199.1,ENSG00000235199.1
32757,ENSG00000235200.2,ENSG00000235200.2
32758,ENSG00000235201.1,ENSG00000235201.1
32759,ENSG00000235202.1,ENSG00000235202.1
32760,ENSG00000235203.2,ENSG00000235203.2
32761,ENSG00000235204.1,ENSG00000235204.1
